EN,DE,ES,FR,IT,NL,PL,PT,RU
Toggle icons         ,Symbole umschalten         ,Iconos de conmutación         ,Icônes de basculement         ,Icone a levetta         ,Schakelen tussen pictogrammen         ,Ikony do przełączania         ,Alternar ícones         ,переключающиеся иконки         
Toggle autohide dock ,Autohide-Dock umschalten ,Cambiar el muelle de auto-ocultación ,Basculer le quai autohide ,Attivare il dock autohide ,Schakelaar voor autodokker ,Przełączyć autohide dok ,Alternar a doca de autoculto ,Тоггл-автохидный док 
Toggle autohide toolbar,Umschalten der Autohide-Werkzeugleiste,Cambiar la barra de herramientas de auto-ocultación,Barre d'outils de masquage automatique,Attivare e disattivare la barra degli strumenti autohide,Schakel de autohide-werkbalk in,"Przełączany, automatyczny pasek narzędzi",Alternar a barra de ferramentas de autoculto,Переключить автоматическую панель инструментов
Toggle monitors      ,Monitore umschalten      ,Cambiar los monitores...      ,Basculer les moniteurs      ,Monitor a levetta      ,Schakelen tussen de monitoren      ,Monitory przełączające      ,Monitores Toggle      ,Тумблерные мониторы      
Disable default dock ,Standard-Dock deaktivieren ,Deshabilitar el acoplamiento por defecto ,Désactiver le dock par défaut ,Disattivare il dock di default ,Standaard dok uitschakelen ,Wyłączenie domyślnego doku ,Desactivar a doca por defeito ,Отключить стандартную док-станцию 
Leave,Verlassen Sie,Deje,Quitter,Lascia,Verlaat,Wyjdź,Sair,Оставить
Refresh,Aktualisieren Sie,Actualizar,Rafraîchir,Aggiorna,Vernieuwen,Odświeżyć,Actualização,Обновить
Suspend,aussetzen,Suspender,Suspendre,Sospendi,Schorsen,Zawiesić,Suspendam,Приостановить
Logout,Abmeldung,Cierre de sesión,Déconnexion,Logout,Uitloggen,Logout,Sair,Выход из системы
Reboot,Neustart,Reiniciar,Redémarrer,Riavvio,Herstart,Reboot,Reinicialização,Перезагрузить
Shutdown,Herunterfahren,Apagado,Fermeture,Spegnimento,Uitschakeling,Zamknięcie,Encerramento,Отключение
